DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2023/01/02 17:13:00,AQUA_M-T,Brasil,MARANHÃO,AMARANTE DO MARANHÃO,Cerrado,0.0,0.0,0.08,-5.45368,-46.83593,22.2
2023/01/02 17:13:00,AQUA_M-T,Brasil,MARANHÃO,TASSO FRAGOSO,Cerrado,0.0,0.0,0.02,-8.4251,-46.00357,20.9
2023/01/02 17:13:00,AQUA_M-T,Brasil,MARANHÃO,ALTO PARNAÍBA,Cerrado,0.0,0.34,0.08,-9.05228,-46.17465,20.1
2023/01/02 17:13:00,AQUA_M-T,Brasil,MARANHÃO,TIMBIRAS,Cerrado,0.0,0.1,0.01,-4.1231,-43.70524,33.0
2023/01/02 17:15:00,AQUA_M-T,Brasil,MARANHÃO,SANTA HELENA,Amazônia,1,0.0,0.23,-2.2285,-45.23177,24.4
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,MIRINZAL,Amazônia,0.0,0.0,0.23,-1.98566,-44.83628,19.7
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,ALCÂNTARA,Amazônia,0.0,0.0,0.22,-2.18097,-44.45945,34.4
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,ALCÂNTARA,Amazônia,0.0,0.0,0.22,-2.19322,-44.45778,19.5
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,MIRINZAL,Amazônia,0.0,0.0,0.18,-2.21997,-44.92067,20.3
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,MIRINZAL,Amazônia,0.0,0.0,0.18,-2.22056,-44.92567,18.1
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,PINHEIRO,Amazônia,0.0,0.1,0.4,-2.4213,-44.9591,16.6
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,PINHEIRO,Amazônia,0.0,0.1,0.41,-2.42245,-44.96395,24.0
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,PINHEIRO,Amazônia,0.0,0.1,0.42,-2.424,-44.97853,16.9
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,BREJO,Cerrado,0.0,6.12,0.01,-3.6086,-42.87369,19.9
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,BREJO,Cerrado,0.0,7.15,0.0,-3.70266,-42.72654,9.5
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,BURITI,Cerrado,0.0,8.42,0.0,-3.76678,-43.01891,14.3
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,CHAPADINHA,Cerrado,0.0,4.2,0.01,-4.02517,-43.48982,17.8
2023/01/05 16:07:00,AQUA_M-T,Brasil,MARANHÃO,HUMBERTO DE CAMPOS,Cerrado,2,0.3,0.23,-2.82269,-43.55559,35.3
2023/01/05 16:07:00,AQUA_M-T,Brasil,MARANHÃO,HUMBERTO DE CAMPOS,Cerrado,1,0.3,0.24,-2.82479,-43.56003,29.1
2023/01/05 16:07:00,AQUA_M-T,Brasil,MARANHÃO,TUTÓIA,Cerrado,2,0.2,0.22,-3.09479,-42.67327,35.1
2023/01/05 16:07:00,AQUA_M-T,Brasil,MARANHÃO,URBANO SANTOS,Cerrado,1,0.0,0.2,-3.19828,-43.20057,160.8
2023/01/05 16:07:00,AQUA_M-T,Brasil,MARANHÃO,URBANO SANTOS,Cerrado,2,0.0,0.18,-3.20255,-43.22019,83.6
2023/01/06 16:49:00,AQUA_M-T,Brasil,MARANHÃO,CARUTAPERA,Amazônia,2,0.0,0.28,-1.26199,-46.05748,18.8
2023/01/06 16:49:00,AQUA_M-T,Brasil,MARANHÃO,CENTRO NOVO DO MARANHÃO,Amazônia,3,0.05,0.02,-3.04053,-46.25468,10.8
2023/01/06 16:49:00,AQUA_M-T,Brasil,MARANHÃO,PEDRO DO ROSÁRIO,Amazônia,2,0.0,0.31,-3.1798,-45.56226,9.0
2023/01/06 16:49:00,AQUA_M-T,Brasil,MARANHÃO,CENTRO NOVO DO MARANHÃO,Amazônia,2,1.21,0.21,-3.3043,-46.49112,28.9
2023/01/06 16:49:00,AQUA_M-T,Brasil,MARANHÃO,CENTRO NOVO DO MARANHÃO,Amazônia,2,1.3,0.2,-3.30559,-46.50012,20.8
2023/01/06 16:49:00,AQUA_M-T,Brasil,MARANHÃO,PINDARÉ-MIRIM,Amazônia,1,0.2,0.2,-3.63703,-45.40978,14.2
2023/01/06 16:49:00,AQUA_M-T,Brasil,MARANHÃO,PINDARÉ-MIRIM,Amazônia,1,0.1,0.09,-3.70803,-45.45758,5.0
2023/01/06 16:49:00,AQUA_M-T,Brasil,MARANHÃO,ALTAMIRA DO MARANHÃO,Amazônia,2,0.61,0.15,-4.14451,-45.36027,7.6
