DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,SÃO BERNARDO,Cerrado,4,7.4,0.1,-3.32185,-42.58737,25.3
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,TURIAÇU,Amazônia,18,5.3,1.0,-1.93087,-45.5821,15.6
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,CENTRO NOVO DO MARANHÃO,Amazônia,2,10.5,0.2,-2.29617,-46.38783,13.7
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,MATINHA,Amazônia,4,0.0,1.0,-3.05572,-45.08995,11.0
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,MARACAÇUMÉ,Amazônia,4,27.3,0.0,-1.9102,-46.00565,23.6
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,TURIAÇU,Amazônia,22,5.0,0.3,-1.89065,-45.41482,47.9
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,JOSELÂNDIA,Cerrado,0.0,3.6,0.0,-4.98357,-44.64253,6.0
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,PEDRO DO ROSÁRIO,Amazônia,6,0.2,1.0,-3.06281,-45.41464,32.1
2021/12/02 16:22:00,AQUA_M-T,Brasil,MARANHÃO,PRESIDENTE DUTRA,Cerrado,2,0.3,0.1,-5.1545,-44.41647,10.6
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,ALCÂNTARA,Amazônia,0.0,0.0,0.9,-2.31378,-44.60273,34.0
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,VIANA,Amazônia,4,0.0,0.7,-3.0781,-45.2507,25.4
2021/12/02 16:22:00,AQUA_M-T,Brasil,MARANHÃO,ITAIPAVA DO GRAJAÚ,Cerrado,2,0.1,0.1,-5.30938,-45.8138,44.7
2021/12/02 16:22:00,AQUA_M-T,Brasil,MARANHÃO,BURITIRANA,Cerrado,2,0.4,0.7,-5.58362,-47.13498,21.7
2021/12/02 16:24:00,AQUA_M-T,Brasil,MARANHÃO,PEDRO DO ROSÁRIO,Amazônia,5,0.3,1.0,-3.0957,-45.37733,13.7
2021/12/02 16:22:00,AQUA_M-T,Brasil,MARANHÃO,GRAJAÚ,Cerrado,2,0.2,0.2,-5.70227,-45.75887,62.6
