DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2020/06/17 16:00:00,AQUA_M-T,Brasil,MARANHÃO,AMARANTE DO MARANHÃO,Cerrado,15.0,0.0,0.3,-5.508,-46.679,70.3
2020/06/17 16:00:00,AQUA_M-T,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado,15.0,0.0,1.0,-6.076,-45.05,32.1
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,NOVA OLINDA DO MARANHÃO,Amazônia,1.0,3.4,0.0,-2.804,-45.932,15.7
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,PASTOS BONS,Cerrado,3.0,2.3,0.2,-6.571,-44.035,14.6
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,JOSELÂNDIA,Cerrado,4.0,2.3,1.0,-5.067,-44.769,6.6
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,ZÉ DOCA,Amazônia,3.0,11.1,0.1,-3.25,-46.097,9.0
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,PARNARAMA,Cerrado,4.0,1.3,0.1,-5.303,-43.785,14.8
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado,2.0,1.7,1.0,-5.233,-45.102,69.0
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,SANTA HELENA,Amazônia,1.0,2.4,0.3,-2.868,-45.609,9.8
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,URBANO SANTOS,Cerrado,2.0,0.6,0.3,-3.341,-43.138,8.3
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,BACABAL,Cerrado,1.0,1.8,0.5,-4.11,-44.709,8.6
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,PARNARAMA,Cerrado,4.0,1.4,0.3,-5.314,-43.793,7.5
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,TUNTUM,Cerrado,3.0,1.5,1.0,-5.756,-44.702,12.0
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,JOÃO LISBOA,Amazônia,2.0,10.8,0.0,-5.273,-47.198,21.6
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado,2.0,2.7,0.7,-5.325,-45.101,10.0
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,SÃO BENEDITO DO RIO PRETO,Cerrado,0.0,2.7,0.1,-3.326,-43.793,23.0
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,CODÓ,Cerrado,0.0,0.6,0.5,-4.299,-43.714,12.6
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,PIO XII,Amazônia,1.0,2.1,0.1,-3.899,-45.036,14.5
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,VITORINO FREIRE,Amazônia,2.0,5.4,0.0,-4.163,-45.338,9.0
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado,3.0,2.3,0.2,-5.104,-44.903,6.8
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,PASSAGEM FRANCA,Cerrado,3.0,7.3,0.1,-6.179,-43.67,13.1
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,COELHO NETO,Cerrado,3.0,2.5,0.3,-4.069,-43.199,66.6
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,BARREIRINHAS,Cerrado,5.0,0.2,0.8,-2.775,-42.975,13.4
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,PASSAGEM FRANCA,Cerrado,4.0,6.7,0.1,-5.976,-43.672,12.8
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,JOÃO LISBOA,Amazônia,2.0,9.8,0.1,-5.25,-47.178,23.8
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,PARNARAMA,Cerrado,4.0,1.3,0.1,-5.305,-43.794,25.8
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,SATUBINHA,Amazônia,2.0,5.0,0.0,-4.026,-45.28,20.1
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,ITAPECURU MIRIM,Amazônia,1.0,1.7,0.0,-3.277,-44.349,9.5
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,TASSO FRAGOSO,Cerrado,2.0,7.4,0.0,-7.886,-45.811,49.9
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,PASTOS BONS,Cerrado,3.0,1.4,0.3,-6.634,-44.148,10.0
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,LAGOA DO MATO,Cerrado,4.0,6.2,0.1,-6.007,-43.496,15.3
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,COELHO NETO,Cerrado,3.0,2.6,0.3,-4.067,-43.19,13.2
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,COLINAS,Cerrado,4.0,5.7,0.0,-6.076,-43.981,10.6
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,ALTO ALEGRE DO MARANHÃO,Cerrado,0.0,1.9,0.1,-4.178,-44.349,11.9
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,TUNTUM,Cerrado,3.0,2.3,0.6,-5.682,-44.509,12.4
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,FORTUNA,Cerrado,4.0,1.6,0.1,-5.547,-43.948,124.3
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,SANTA FILOMENA DO MARANHÃO,Cerrado,3.0,2.0,0.6,-5.519,-44.72,17.6
2020/11/27 16:30:00,AQUA_M-T,Brasil,MARANHÃO,JATOBÁ,Cerrado,3.0,8.3,0.0,-5.903,-44.247,8.3
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado,2.0,1.8,0.5,-5.249,-45.081,24.1
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado,2.0,1.9,0.5,-5.26,-45.098,25.0
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,ALTO ALEGRE DO MARANHÃO,Cerrado,0.0,1.9,0.1,-4.177,-44.34,19.2
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado,2.0,1.5,0.2,-5.267,-44.886,26.2
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,ZÉ DOCA,Amazônia,3.0,11.3,0.0,-3.249,-46.087,49.5
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,ALTO ALEGRE DO MARANHÃO,Cerrado,2.0,1.9,0.2,-4.216,-44.416,15.5
2020/11/27 16:35:00,AQUA_M-T,Brasil,MARANHÃO,ANAPURUS,Cerrado,0.0,3.6,0.2,-3.433,-43.249,16.5
