DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2019/11/02 16:25:00,AQUA_M-T,Brasil,MARANHÃO,SANTA RITA,Amazônia,7,0.3,0.6,-3.156,-44.228,11.4
2019/11/07 16:45:00,AQUA_M-T,Brasil,MARANHÃO,ITAPECURU MIRIM,Cerrado,3,0.3,0.5,-3.438,-44.425,35.3
2019/11/07 16:45:00,AQUA_M-T,Brasil,MARANHÃO,CODÓ,Cerrado,4,0.0,0.9,-4.27,-43.403,197.0
2019/11/07 16:45:00,AQUA_M-T,Brasil,MARANHÃO,VIANA,Amazônia,3,0.3,0.7,-3.094,-45.273,17.5
2019/11/09 16:35:00,AQUA_M-T,Brasil,MARANHÃO,ROSÁRIO,Amazônia,0,1.1,0.6,-2.881,-44.205,19.9
2019/11/09 16:35:00,AQUA_M-T,Brasil,MARANHÃO,SÃO BENTO,Amazônia,6,0.0,0.9,-2.841,-45.216,20.9
2019/11/09 16:35:00,AQUA_M-T,Brasil,MARANHÃO,URBANO SANTOS,Cerrado,18,0.0,1.0,-3.318,-43.145,26.3
2019/11/09 16:35:00,AQUA_M-T,Brasil,MARANHÃO,BARREIRINHAS,Cerrado,10,0.3,0.9,-3.059,-42.884,28.3
2019/11/09 16:35:00,AQUA_M-T,Brasil,MARANHÃO,CURURUPU,Amazônia,0,0.0,1.0,-1.862,-44.808,106.0
2019/11/09 16:35:00,AQUA_M-T,Brasil,MARANHÃO,BURITI,Cerrado,5,0.5,1.0,-3.799,-42.98,22.3
2019/11/13 16:10:00,AQUA_M-T,Brasil,MARANHÃO,BARREIRINHAS,Cerrado,21,0.0,1.0,-3.116,-42.94,18.9
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,SANTA HELENA,Amazônia,12,0.3,1.0,-2.582,-45.524,20.9
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,PRESIDENTE SARNEY,Amazônia,12,0.2,1.0,-2.587,-45.366,8.6
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,ITINGA DO MARANHÃO,Amazônia,7,0.0,1.0,-3.98,-47.07,13.0
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,ITINGA DO MARANHÃO,Amazônia,7,0.0,1.0,-3.981,-47.079,27.7
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,LORETO,Cerrado,7,0.7,1.0,-6.889,-45.142,14.2
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,LORETO,Cerrado,7,0.7,1.0,-6.891,-45.151,8.9
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,SÃO RAIMUNDO DAS MANGABEIRAS,Cerrado,7,0.5,0.6,-7.024,-45.629,12.9
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,CAROLINA,Cerrado,3,1.6,0.5,-7.049,-47.319,9.0
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,CAROLINA,Cerrado,3,2.4,0.5,-7.129,-47.278,21.5
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,CAROLINA,Cerrado,3,2.9,0.5,-7.131,-47.288,17.6
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,CAROLINA,Cerrado,3,2.7,0.6,-7.135,-47.282,39.2
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,MILAGRES DO MARANHÃO,Cerrado,12,0.0,1.0,-3.52,-42.698,118.6
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,MILAGRES DO MARANHÃO,Cerrado,12,0.0,1.0,-3.523,-42.721,66.6
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,MIRADOR,Cerrado,6,0.0,1.0,-6.161,-44.487,16.0
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,FORMOSA DA SERRA NEGRA,Cerrado,7,0.0,0.9,-6.264,-46.172,15.0
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHÃO,SÃO JOÃO DO PARAÍSO,Cerrado,6,0.5,0.9,-6.284,-46.701,9.0
